timestamp,bottle,vibration_index_red,time_red,fill_level_grams_red,recipe,temperature_C_red,final_weight_grams
2025-06-04T11:39:19.981113,49031751,262.3228109147076,1749037161,363.1664493820686,29,26.889171074576787,363.1664493820686
2025-06-04T11:39:23.923656,49031753,276.45066441271854,1749037165,348.3688153794921,29,26.441679929675423,348.3688153794921
2025-06-04T11:39:27.931458,49031755,261.8036733533845,1749037169,335.95444198543277,29,25.163309031296333,335.95444198543277
2025-06-04T11:39:31.933577,49031757,267.7250240614212,1749037173,321.9861707745527,29,26.81768468630311,321.9861707745527
2025-06-04T11:40:27.953958,49031785,266.07529725487774,1749037229,126.76106815000031,29,25.044552188444754,126.76106815000031
2025-06-04T11:40:31.960172,49031787,259.01190366209596,1749037233,113.22203113034121,29,25.57055699470916,113.22203113034121
2025-06-04T11:40:35.956637,49031789,270.63557839364825,1749037237,98.58712287275303,29,26.32448279705253,98.58712287275303
2025-06-04T11:40:39.953221,49031791,273.5204875947306,1749037241,84.3281598368072,29,25.50498642083481,84.3281598368072
2025-06-04T11:40:43.959885,49031793,269.62860664343924,1749037245,71.57543811292791,29,27.31181755316115,71.57543811292791
2025-06-04T11:40:47.961609,49031795,264.68668167518143,1749037249,58.07604085571781,29,24.125198404645516,58.07604085571781
2025-06-04T11:40:51.956203,49031797,267.2620910225318,1749037253,44.11236838773777,29,26.600696216604096,44.11236838773777
2025-06-04T11:40:55.963360,49031799,269.28244157849286,1749037257,29.783451866809365,29,25.03140877094991,29.783451866809365
2025-06-04T11:40:59.958247,49031801,266.88024653638973,1749037261,15.589946327973777,29,27.606885231527183,15.589946327973777
2025-06-04T11:41:03.959734,49031803,-1.3980902371098622,1749037265,0,29,27.244723158888128,0
2025-06-04T11:41:07.966690,49031805,-2.2835761768839475,1749037269,0,29,26.15647032678538,0
2025-06-04T11:41:11.970187,49031807,-1.7879812539739035,1749037273,0,29,24.428912501147884,0
2025-06-04T11:41:15.968897,49031809,-1.1564836632085331,1749037277,0,29,25.650371157328543,0
2025-06-04T11:41:19.965051,49031811,-0.8020979154755139,1749037281,0,29,27.64107198972109,0
2025-06-04T11:41:23.974390,49031813,-2.644690622495915,1749037285,0,29,23.484708681599606,0
2025-06-04T11:41:27.967594,49031815,-3.421752268080894,1749037289,0,29,27.67138487610507,0
2025-06-04T11:41:31.968259,49031817,-1.9876149936459342,1749037293,0,29,24.990331016044983,0
2025-06-04T11:41:35.968960,49031819,-5.406319055951911,1749037297,0,29,26.036221637141526,0
2025-06-04T11:41:39.970720,49031821,-1.8239380681103938,1749037301,0,29,25.054997292210338,0
2025-06-04T11:41:43.974050,49031823,0.515749184675343,1749037305,0,29,27.440000051760375,0
2025-06-04T11:41:47.988963,49031825,-2.78757351959851,1749037309,0,29,24.907999916647462,0
2025-06-04T11:41:51.981739,49031827,-2.201481134676797,1749037313,0,29,26.102870312082224,0
2025-06-04T11:41:55.974345,49031829,-0.7892554218251604,1749037317,0,29,26.489385125744455,0
2025-06-04T11:41:59.990025,49031831,2.643410252776526,1749037321,0,29,24.67922347375081,0
2025-06-04T11:42:03.977721,49031833,-0.8727127056792483,1749037325,0,29,26.896871258988682,0
2025-06-04T11:42:07.978727,49031835,-4.357203422705332,1749037329,0,29,26.225527452993934,0
2025-06-04T11:42:11.979784,49031837,-4.001247616563575,1749037333,0,29,25.8902560187729,0
2025-06-04T11:42:15.983878,49031839,-1.604371342538272,1749037337,0,29,25.41372083026935,0
2025-06-04T11:42:19.983309,49031841,-2.308584231035681,1749037341,0,29,25.384172431421206,0
2025-06-04T11:42:23.982642,49031843,-0.2873524722291734,1749037345,0,29,25.28076524995839,0
2025-06-04T11:42:27.989699,49031845,-1.1149072659380366,1749037349,0,29,26.598416197990982,0
2025-06-04T11:42:31.996365,49031847,1.2897403333559865,1749037353,0,29,25.050006623568734,0
2025-06-04T11:42:35.986448,49031849,-4.550784494386463,1749037357,0,29,27.60232934669185,0
2025-06-04T11:42:39.994737,49031851,-3.567357626032205,1749037361,0,29,25.198857511826052,0
2025-06-04T11:42:43.987876,49031853,-1.2599638810879554,1749037365,0,29,25.937911918366524,0
2025-06-04T11:42:47.993622,49031855,-1.3410209339582835,1749037369,0,29,26.581809580310072,0
2025-06-04T11:42:51.991473,49031857,-3.4779196878369447,1749037373,0,29,24.376514330422324,0
2025-06-04T11:42:55.991957,49031859,-1.5897937474468264,1749037377,0,29,24.849068701262922,0
2025-06-04T11:42:59.997954,49031861,-3.7842782597079747,1749037381,0,29,26.213653203677804,0
2025-06-04T11:43:03.993735,49031863,0.09114319726074882,1749037385,0,29,27.25915886024385,0
2025-06-04T11:43:08.003199,49031865,-3.6309808927152716,1749037389,0,29,26.410010947025008,0
2025-06-04T11:43:11.995150,49031867,0.634980457021669,1749037393,0,29,25.555138941369528,0
2025-06-04T11:43:15.998892,49031869,-2.03666372136135,1749037397,0,29,26.681286142544167,0
2025-06-04T11:43:20.005116,49031871,-1.147824905838874,1749037401,0,29,25.60924072556801,0
2025-06-04T11:43:24.000381,49031873,-2.9320155420814586,1749037405,0,29,25.2848543501141,0
2025-06-04T11:43:28.005877,49031875,-0.7238502083183818,1749037409,0,29,25.0615967063266,0
2025-06-04T11:43:32.011555,49031877,0.029230855889501584,1749037413,0,29,24.470819297389006,0
2025-06-04T11:43:36.004771,49031879,2.493264565148195,1749037417,0,29,25.170964942049515,0
2025-06-04T11:43:40.012327,49031881,-3.7304373291650137,1749037421,0,29,25.888917546554616,0
